name,pokedex_number,type,weakness,height,weight,ability,genders,hp,attack,defense,special_attack,special_defense,speed
Gigalith,#0526,Rock,"['Water', 'Steel', 'Grass', 'Fighting', 'Ground']","5' 07""",573.2 lbs,"['Sturdy', 'Sand Stream']","['male', 'female']",5,8,8,4,5,2
Cobalion,#0638,"['Steel', 'Fighting']","['Fire', 'Fighting', 'Ground']","6' 11""",551.2 lbs,Justified,Unknown,6,6,8,6,5,7
Shelgon,#0372,Dragon,"['Fairy', 'Ice', 'Dragon']","3' 07""",243.6 lbs,Rock Head,"['male', 'female']",4,6,6,4,3,3
Great Tusk,#0984,"['Ground', 'Fighting']","['Psychic', 'Flying', 'Ice', 'Water', 'Fairy', 'Grass']","7' 03""",705.5 lbs,Protosynthesis,Unknown,7,8,8,4,4,6
Conkeldurr,#0534,Fighting,"['Psychic', 'Flying', 'Fairy']","4' 07""",191.8 lbs,"['Guts', 'Sheer Force']","['male', 'female']",7,9,6,4,4,3
Roggenrola,#0524,Rock,"['Water', 'Steel', 'Grass', 'Fighting', 'Ground']","1' 04""",39.7 lbs,"['Sturdy', 'Weak Armor']","['male', 'female']",4,5,5,2,2,1
Solosis,#0577,Psychic,"['Ghost', 'Dark', 'Bug']","1' 00""",2.2 lbs,"['Magic Guard', 'Overcoat']","['male', 'female']",3,2,3,7,3,2
Hawlucha,#0701,"['Fighting', 'Flying']","['Psychic', 'Flying', 'Fairy', 'Electric', 'Ice']","2' 07""",47.4 lbs,"['Limber', 'Unburden']","['male', 'female']",5,6,5,5,4,7
Terrakion,#0639,"['Rock', 'Fighting']","['Steel', 'Psychic', 'Fighting', 'Water', 'Fairy', 'Grass', 'Ground']","6' 03""",573.2 lbs,Justified,Unknown,6,8,6,5,6,7
Golisopod,#0768,"['Bug', 'Water']","['Flying', 'Electric', 'Rock']","6' 07""",238.1 lbs,Emergency Exit,"['male', 'female']",5,8,9,4,6,3
Xurkitree,#0796,Electric,Ground,"12' 06""",220.5 lbs,Beast Boost,Unknown,5,6,5,"['1', '1']",5,5
Tepig,#0498,Fire,"['Water', 'Ground', 'Rock']","1' 08""",21.8 lbs,Blaze,"['male', 'female']",4,4,3,3,3,3
Baltoy,#0343,"['Ground', 'Psychic']","['Ghost', 'Water', 'Ice', 'Dark', 'Grass', 'Bug']","1' 08""",47.4 lbs,Levitate,Unknown,3,3,4,3,5,4
Tranquill,#0520,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","2' 00""",33.1 lbs,"['Super Luck', 'Big Pecks']","['male', 'female']",4,5,4,3,3,4
Maushold,#0925,Normal,Fighting,"1' 00""",6.2 lbs,"['Cheek Pouch', 'Friend Guard']",Unknown,5,5,5,4,5,7
Mabosstiff,#0943,Dark,"['Fairy', 'Bug', 'Fighting']","3' 07""",134.5 lbs,"['Intimidate', 'Guard Dog']","['male', 'female']",5,8,6,4,5,5
Bellibolt,#0939,Electric,Ground,"3' 11""",249.1 lbs,"['Static', 'Electromorphosis']","['male', 'female']",7,4,6,7,5,3
Palafin,#0964,Water,"['Grass', 'Electric']","4' 03""",132.7 lbs,Zero to Hero,"['male', 'female']",6,5,5,4,4,6
Crabominable,#0740,"['Fighting', 'Ice']","['Steel', 'Fire', 'Psychic', 'Flying', 'Fighting', 'Fairy']","5' 07""",396.8 lbs,"['Hyper Cutter', 'Iron Fist']","['male', 'female']",6,8,5,4,4,3
Omanyte,#0138,"['Rock', 'Water']","['Grass', 'Electric', 'Fighting', 'Ground']","1' 04""",16.5 lbs,"['Shell Armor', 'Swift Swim']","['male', 'female']",3,3,6,6,4,3
Rhyperior,#0464,"['Ground', 'Rock']","['Steel', 'Ice', 'Water', 'Fighting', 'Grass', 'Ground']","7' 10""",623.5 lbs,"['Lightning Rod', 'Solid Rock']","['male', 'female']",7,9,8,4,4,3
Azumarill,#0184,"['Water', 'Fairy']","['Grass', 'Electric', 'Poison']","2' 07""",62.8 lbs,"['Thick Fat', 'Huge Power']","['male', 'female']",6,3,5,4,5,3
Foongus,#0590,"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","0' 08""",2.2 lbs,Effect Spore,"['male', 'female']",5,4,3,4,4,1
Bidoof,#0399,Normal,Fighting,"1' 08""",44.1 lbs,"['Simple', 'Unaware']","['male', 'female']",4,3,3,3,3,2
Kingler,#0099,Water,"['Grass', 'Electric']","4' 03""",132.3 lbs,"['Shell Armor', 'Hyper Cutter']","['male', 'female']",4,8,7,3,3,5
Dodrio,#0085,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","5' 11""",187.8 lbs,"['Run Away', 'Early Bird']","['male', 'female']",4,7,5,4,4,7
Swanna,#0581,"['Water', 'Flying']","['Electric', 'Rock']","4' 03""",53.4 lbs,"['Keen Eye', 'Big Pecks']","['male', 'female']",5,6,4,6,4,6
Mew,#0151,Psychic,"['Ghost', 'Dark', 'Bug']","1' 04""",8.8 lbs,Synchronize,Unknown,6,6,6,6,6,6
Goodra,#0706,Dragon,"['Fairy', 'Ice', 'Dragon']","6' 07""",331.8 lbs,"['Hydration', 'Sap Sipper']","['male', 'female']",6,6,5,7,9,5
Lombre,#0271,"['Water', 'Grass']","['Flying', 'Bug', 'Poison']","3' 11""",71.7 lbs,"['Swift Swim', 'Rain Dish']","['male', 'female']",4,3,3,4,5,3
Oinkologne,#0916,Normal,Fighting,"3' 03""",264.6 lbs,"['Gluttony', 'Lingering Aroma']",male,7,6,5,4,5,4
Noibat,#0714,"['Flying', 'Dragon']","['Fairy', 'Rock', 'Ice', 'Dragon']","1' 08""",17.6 lbs,"['Frisk', 'Infiltrator']","['male', 'female']",3,2,3,3,3,4
Mismagius,#0429,Ghost,"['Ghost', 'Dark']","2' 11""",9.7 lbs,Levitate,"['male', 'female']",4,4,4,7,7,7
Gible,#0443,"['Dragon', 'Ground']","['Fairy', 'Ice', 'Dragon']","2' 04""",45.2 lbs,Sand Veil,"['male', 'female']",4,5,3,3,3,3
Carracosta,#0565,"['Water', 'Rock']","['Grass', 'Electric', 'Fighting', 'Ground']","3' 11""",178.6 lbs,"['Sturdy', 'Solid Rock']","['male', 'female']",5,7,8,5,4,2
Liepard,#0510,Dark,"['Fairy', 'Bug', 'Fighting']","3' 07""",82.7 lbs,"['Limber', 'Unburden']","['male', 'female']",4,6,3,6,3,7
Orthworm,#0968,Steel,"['Fire', 'Fighting', 'Ground']","8' 02""",683.4 lbs,Earth Eater,"['male', 'female']",5,5,9,4,4,4
Drakloak,#0886,"['Dragon', 'Ghost']","['Ghost', 'Dark', 'Fairy', 'Ice', 'Dragon']","4' 07""",24.3 lbs,"['Clear Body', 'Infiltrator']","['male', 'female']",4,5,3,4,3,6
Fletchinder,#0662,"['Fire', 'Flying']","['Water', 'Electric', 'Rock']","2' 04""",35.3 lbs,Flame Body,"['male', 'female']",4,5,4,4,4,5
Chansey,#0113,Normal,Fighting,"3' 07""",76.3 lbs,"['Natural Cure', 'Serene Grace']",female,"['1', '5']",1,1,3,7,3
Combee,#0415,"['Bug', 'Flying']","['Fire', 'Flying', 'Electric', 'Ice', 'Rock']","1' 00""",12.1 lbs,Honey Gather,"['male', 'female']",2,2,3,2,3,5
Seismitoad,#0537,"['Water', 'Ground']",Grass,"4' 11""",136.7 lbs,"['Swift Swim', 'Poison Touch']","['male', 'female']",7,6,5,5,5,5
Mamoswine,#0473,"['Ice', 'Ground']","['Steel', 'Fire', 'Grass', 'Water', 'Fighting']","8' 02""",641.5 lbs,"['Oblivious', 'Snow Cloak']","['male', 'female']",7,8,5,5,4,5
Lairon,#0305,"['Steel', 'Rock']","['Water', 'Fighting', 'Ground']","2' 11""",264.6 lbs,"['Rock Head', 'Sturdy']","['male', 'female']",4,6,9,3,3,3
Stonjourner,#0874,Rock,"['Water', 'Steel', 'Grass', 'Fighting', 'Ground']","8' 02""",1146.4 lbs,Power Spot,"['male', 'female']",6,8,8,2,2,5
Heracross,#0214,"['Bug', 'Fighting']","['Fire', 'Psychic', 'Flying', 'Fairy']","4' 11""",119.0 lbs,"['Swarm', 'Guts']","['male', 'female']",5,8,5,3,6,5
Altaria,#0334,"['Dragon', 'Flying']","['Fairy', 'Dragon', 'Ice', 'Rock']","3' 07""",45.4 lbs,Natural Cure,"['male', 'female']",5,5,6,5,7,5
